game,draw_id,prize_code,prize_name,amount_vnd,winner_count,jackpot_vnd
lotto535,00021,giai-doc-dac,Giải Độc Đắc,,0,6870452500
lotto535,00021,giai-nhat,Giải Nhất,10000000,2,
lotto535,00021,giai-nhi,Giải Nhì,5000000,8,
lotto535,00021,giai-ba,Giải Ba,500000,65,
lotto535,00021,giai-tu,Giải Tư,100000,159,
lotto535,00021,giai-nam,Giải Năm,30000,1876,
lotto535,00021,giai-khuyen-khich,Giải Khuyến Khích,10000,11463,
lotto535,00022,giai-doc-dac,Giải Độc Đắc,,0,7142920000
lotto535,00022,giai-nhat,Giải Nhất,10000000,0,
lotto535,00022,giai-nhi,Giải Nhì,5000000,7,
lotto535,00022,giai-ba,Giải Ba,500000,77,
lotto535,00022,giai-tu,Giải Tư,100000,192,
lotto535,00022,giai-nam,Giải Năm,30000,2745,
lotto535,00022,giai-khuyen-khich,Giải Khuyến Khích,10000,13600,
lotto535,00023,giai-doc-dac,Giải Độc Đắc,,0,7288255000
lotto535,00023,giai-nhat,Giải Nhất,10000000,1,
lotto535,00023,giai-nhi,Giải Nhì,5000000,4,
lotto535,00023,giai-ba,Giải Ba,500000,66,
lotto535,00023,giai-tu,Giải Tư,100000,172,
lotto535,00023,giai-nam,Giải Năm,30000,1980,
lotto535,00023,giai-khuyen-khich,Giải Khuyến Khích,10000,14525,
lotto535,00024,giai-doc-dac,Giải Độc Đắc,,0,7449222500
lotto535,00024,giai-nhat,Giải Nhất,10000000,0,
lotto535,00024,giai-nhi,Giải Nhì,5000000,6,
lotto535,00024,giai-ba,Giải Ba,500000,76,
lotto535,00024,giai-tu,Giải Tư,100000,258,
lotto535,00024,giai-nam,Giải Năm,30000,2568,
lotto535,00024,giai-khuyen-khich,Giải Khuyến Khích,10000,21221,
lotto535,00025,giai-doc-dac,Giải Độc Đắc,,0,7625090000
lotto535,00025,giai-nhat,Giải Nhất,10000000,1,
lotto535,00025,giai-nhi,Giải Nhì,5000000,7,
lotto535,00025,giai-ba,Giải Ba,500000,94,
lotto535,00025,giai-tu,Giải Tư,100000,171,
lotto535,00025,giai-nam,Giải Năm,30000,2718,
lotto535,00025,giai-khuyen-khich,Giải Khuyến Khích,10000,9724,
lotto535,00026,giai-doc-dac,Giải Độc Đắc,,0,7815150000
lotto535,00026,giai-nhat,Giải Nhất,10000000,1,
lotto535,00026,giai-nhi,Giải Nhì,5000000,2,
lotto535,00026,giai-ba,Giải Ba,500000,94,
lotto535,00026,giai-tu,Giải Tư,100000,253,
lotto535,00026,giai-nam,Giải Năm,30000,2733,
lotto535,00026,giai-khuyen-khich,Giải Khuyến Khích,10000,24517,
lotto535,00027,giai-doc-dac,Giải Độc Đắc,,0,7962020000
lotto535,00027,giai-nhat,Giải Nhất,10000000,0,
lotto535,00027,giai-nhi,Giải Nhì,5000000,7,
lotto535,00027,giai-ba,Giải Ba,500000,51,
lotto535,00027,giai-tu,Giải Tư,100000,210,
lotto535,00027,giai-nam,Giải Năm,30000,1752,
lotto535,00027,giai-khuyen-khich,Giải Khuyến Khích,10000,16867,
lotto535,00028,giai-doc-dac,Giải Độc Đắc,,0,8069175000
lotto535,00028,giai-nhat,Giải Nhất,10000000,0,
lotto535,00028,giai-nhi,Giải Nhì,5000000,10,
lotto535,00028,giai-ba,Giải Ba,500000,85,
lotto535,00028,giai-tu,Giải Tư,100000,264,
lotto535,00028,giai-nam,Giải Năm,30000,2360,
lotto535,00028,giai-khuyen-khich,Giải Khuyến Khích,10000,17797,
lotto535,00029,giai-doc-dac,Giải Độc Đắc,,0,8194275000
lotto535,00029,giai-nhat,Giải Nhất,10000000,0,
lotto535,00029,giai-nhi,Giải Nhì,5000000,9,
lotto535,00029,giai-ba,Giải Ba,500000,85,
lotto535,00029,giai-tu,Giải Tư,100000,228,
lotto535,00029,giai-nam,Giải Năm,30000,2646,
lotto535,00029,giai-khuyen-khich,Giải Khuyến Khích,10000,14272,
lotto535,00030,giai-doc-dac,Giải Độc Đắc,,0,8216972500
lotto535,00030,giai-nhat,Giải Nhất,10000000,3,
lotto535,00030,giai-nhi,Giải Nhì,5000000,22,
lotto535,00030,giai-ba,Giải Ba,500000,110,
lotto535,00030,giai-tu,Giải Tư,100000,386,
lotto535,00030,giai-nam,Giải Năm,30000,3034,
lotto535,00030,giai-khuyen-khich,Giải Khuyến Khích,10000,25985,
lotto535,00031,giai-doc-dac,Giải Độc Đắc,,0,8428275000
lotto535,00031,giai-nhat,Giải Nhất,10000000,1,
lotto535,00031,giai-nhi,Giải Nhì,5000000,3,
lotto535,00031,giai-ba,Giải Ba,500000,65,
lotto535,00031,giai-tu,Giải Tư,100000,223,
lotto535,00031,giai-nam,Giải Năm,30000,2439,
lotto535,00031,giai-khuyen-khich,Giải Khuyến Khích,10000,15225,
lotto535,00032,giai-doc-dac,Giải Độc Đắc,,0,8589070000
lotto535,00032,giai-nhat,Giải Nhất,10000000,2,
lotto535,00032,giai-nhi,Giải Nhì,5000000,12,
lotto535,00032,giai-ba,Giải Ba,500000,117,
lotto535,00032,giai-tu,Giải Tư,100000,396,
lotto535,00032,giai-nam,Giải Năm,30000,3603,
lotto535,00032,giai-khuyen-khich,Giải Khuyến Khích,10000,25652,
lotto535,00033,giai-doc-dac,Giải Độc Đắc,,0,9050240500
lotto535,00033,giai-nhat,Giải Nhất,10000000,0,
lotto535,00033,giai-nhi,Giải Nhì,5000000,15,
lotto535,00033,giai-ba,Giải Ba,500000,102,
lotto535,00033,giai-tu,Giải Tư,100000,276,
lotto535,00033,giai-nam,Giải Năm,30000,2638,
lotto535,00033,giai-khuyen-khich,Giải Khuyến Khích,10000,18024,
lotto535,00034,giai-doc-dac,Giải Độc Đắc,,0,10158537000
lotto535,00034,giai-nhat,Giải Nhất,10000000,0,
lotto535,00034,giai-nhi,Giải Nhì,5000000,10,
lotto535,00034,giai-ba,Giải Ba,500000,107,
lotto535,00034,giai-tu,Giải Tư,100000,249,
lotto535,00034,giai-nam,Giải Năm,30000,3306,
lotto535,00034,giai-khuyen-khich,Giải Khuyến Khích,10000,19050,
lotto535,00035,giai-doc-dac,Giải Độc Đắc,,0,10945106000
lotto535,00035,giai-nhat,Giải Nhất,10000000,2,
lotto535,00035,giai-nhi,Giải Nhì,5000000,17,
lotto535,00035,giai-ba,Giải Ba,500000,125,
lotto535,00035,giai-tu,Giải Tư,100000,513,
lotto535,00035,giai-nam,Giải Năm,30000,3609,
lotto535,00035,giai-khuyen-khich,Giải Khuyến Khích,10000,25420,
lotto535,00036,giai-doc-dac,Giải Độc Đắc,,0,12221845000
lotto535,00036,giai-nhat,Giải Nhất,10000000,3,
lotto535,00036,giai-nhi,Giải Nhì,5000000,12,
lotto535,00036,giai-ba,Giải Ba,500000,116,
lotto535,00036,giai-tu,Giải Tư,100000,261,
lotto535,00036,giai-nam,Giải Năm,30000,3516,
lotto535,00036,giai-khuyen-khich,Giải Khuyến Khích,10000,20356,
lotto535,00037,giai-doc-dac,Giải Độc Đắc,,0,13562060500
lotto535,00037,giai-nhat,Giải Nhất,10000000,1,
lotto535,00037,giai-nhi,Giải Nhì,5000000,15,
lotto535,00037,giai-ba,Giải Ba,500000,155,
lotto535,00037,giai-tu,Giải Tư,100000,428,
lotto535,00037,giai-nam,Giải Năm,30000,4444,
lotto535,00037,giai-khuyen-khich,Giải Khuyến Khích,10000,36651,
lotto535,00038,giai-doc-dac,Giải Độc Đắc,,0,16321575500
lotto535,00038,giai-nhat,Giải Nhất,10000000,0,
lotto535,00038,giai-nhi,Giải Nhì,177538771,24,
lotto535,00038,giai-ba,Giải Ba,9105000,474,
lotto535,00038,giai-tu,Giải Tư,5670000,732,
lotto535,00038,giai-nam,Giải Năm,385000,11337,
lotto535,00038,giai-khuyen-khich,Giải Khuyến Khích,10000,42528,
lotto535,00039,giai-doc-dac,Giải Độc Đắc,,0,6211375000
lotto535,00039,giai-nhat,Giải Nhất,10000000,2,
