game,draw_id,prize_code,prize_name,amount_vnd,winner_count,jackpot_vnd
power655,00914,jackpot-1,Jackpot 1,,0,210802558800
power655,00914,jackpot-2,Jackpot 2,,0,7011707550
power655,00914,giai-nhat,Giải Nhất,40000000,20,
power655,00914,giai-nhi,Giải Nhì,500000,1739,
power655,00914,giai-ba,Giải Ba,50000,37812,
power655,00915,jackpot-1,Jackpot 1,,0,226138479600
power655,00915,jackpot-2,Jackpot 2,,0,8715698750
power655,00915,giai-nhat,Giải Nhất,40000000,37,
power655,00915,giai-nhi,Giải Nhì,500000,2512,
power655,00915,giai-ba,Giải Ba,50000,52664,
power655,00916,jackpot-1,Jackpot 1,,0,242211415350
power655,00916,jackpot-2,Jackpot 2,,0,10501580500
power655,00916,giai-nhat,Giải Nhất,40000000,26,
power655,00916,giai-nhi,Giải Nhì,500000,1828,
power655,00916,giai-ba,Giải Ba,50000,41740,
power655,00917,jackpot-1,Jackpot 1,,1,256972522350
power655,00917,jackpot-2,Jackpot 2,,0,12141703500
power655,00917,giai-nhat,Giải Nhất,40000000,43,
power655,00917,giai-nhi,Giải Nhì,500000,2491,
power655,00917,giai-ba,Giải Ba,50000,53739,
power655,00918,jackpot-1,Jackpot 1,,0,31860737850
power655,00918,jackpot-2,Jackpot 2,,0,12348452150
power655,00918,giai-nhat,Giải Nhất,40000000,21,
power655,00918,giai-nhi,Giải Nhì,500000,772,
power655,00918,giai-ba,Giải Ba,50000,15816,
power655,00919,jackpot-1,Jackpot 1,,0,34033462950
power655,00919,jackpot-2,Jackpot 2,,0,12589866050
power655,00919,giai-nhat,Giải Nhất,40000000,9,
power655,00919,giai-nhi,Giải Nhì,500000,510,
power655,00919,giai-ba,Giải Ba,50000,12375,
power655,00920,jackpot-1,Jackpot 1,,0,35774937300
power655,00920,jackpot-2,Jackpot 2,,0,12783363200
power655,00920,giai-nhat,Giải Nhất,40000000,16,
power655,00920,giai-nhi,Giải Nhì,500000,979,
power655,00920,giai-ba,Giải Ba,50000,17072,
power655,00921,jackpot-1,Jackpot 1,,0,38459304300
power655,00921,jackpot-2,Jackpot 2,,0,13081626200
power655,00921,giai-nhat,Giải Nhất,40000000,10,
power655,00921,giai-nhi,Giải Nhì,500000,700,
power655,00921,giai-ba,Giải Ba,50000,15800,
power655,00922,jackpot-1,Jackpot 1,,0,40752858900
power655,00922,jackpot-2,Jackpot 2,,1,13336465600
power655,00922,giai-nhat,Giải Nhất,40000000,16,
power655,00922,giai-nhi,Giải Nhì,500000,629,
power655,00922,giai-ba,Giải Ba,50000,13878,
power655,00923,jackpot-1,Jackpot 1,,0,42714713100
power655,00923,jackpot-2,Jackpot 2,,0,3217983800
power655,00923,giai-nhat,Giải Nhất,40000000,9,
power655,00923,giai-nhi,Giải Nhì,500000,610,
power655,00923,giai-ba,Giải Ba,50000,12926,
power655,00924,jackpot-1,Jackpot 1,,0,44834259900
power655,00924,jackpot-2,Jackpot 2,,0,3453489000
power655,00924,giai-nhat,Giải Nhất,40000000,12,
power655,00924,giai-nhi,Giải Nhì,500000,552,
power655,00924,giai-ba,Giải Ba,50000,13076,
power655,00925,jackpot-1,Jackpot 1,,0,46578147150
power655,00925,jackpot-2,Jackpot 2,,0,3647254250
power655,00925,giai-nhat,Giải Nhất,40000000,11,
power655,00925,giai-nhi,Giải Nhì,500000,564,
power655,00925,giai-ba,Giải Ba,50000,13021,
power655,00926,jackpot-1,Jackpot 1,,0,48434457450
power655,00926,jackpot-2,Jackpot 2,,0,3853510950
power655,00926,giai-nhat,Giải Nhất,40000000,7,
power655,00926,giai-nhi,Giải Nhì,500000,494,
power655,00926,giai-ba,Giải Ba,50000,10534,
power655,00927,jackpot-1,Jackpot 1,,0,50166294600
power655,00927,jackpot-2,Jackpot 2,,0,4045937300
power655,00927,giai-nhat,Giải Nhất,40000000,18,
power655,00927,giai-nhi,Giải Nhì,500000,606,
power655,00927,giai-ba,Giải Ba,50000,13334,
power655,00928,jackpot-1,Jackpot 1,,0,52423299300
power655,00928,jackpot-2,Jackpot 2,,1,4296715600
power655,00928,giai-nhat,Giải Nhất,40000000,6,
power655,00928,giai-nhi,Giải Nhì,500000,550,
power655,00928,giai-ba,Giải Ba,50000,12410,
power655,00929,jackpot-1,Jackpot 1,,0,54554601450
power655,00929,jackpot-2,Jackpot 2,,0,3236811350
power655,00929,giai-nhat,Giải Nhất,40000000,10,
power655,00929,giai-nhi,Giải Nhì,500000,584,
power655,00929,giai-ba,Giải Ba,50000,12414,
power655,00930,jackpot-1,Jackpot 1,,0,56990967600
power655,00930,jackpot-2,Jackpot 2,,0,3507518700
power655,00930,giai-nhat,Giải Nhất,40000000,9,
power655,00930,giai-nhi,Giải Nhì,500000,563,
power655,00930,giai-ba,Giải Ba,50000,13789,
power655,00931,jackpot-1,Jackpot 1,,0,59333976300
power655,00931,jackpot-2,Jackpot 2,,0,3767853000
power655,00931,giai-nhat,Giải Nhất,40000000,1,
power655,00931,giai-nhi,Giải Nhì,500000,642,
power655,00931,giai-ba,Giải Ba,50000,13037,
power655,00932,jackpot-1,Jackpot 1,,0,61815809550
power655,00932,jackpot-2,Jackpot 2,,0,4043612250
power655,00932,giai-nhat,Giải Nhất,40000000,6,
power655,00932,giai-nhi,Giải Nhì,500000,584,
power655,00932,giai-ba,Giải Ba,50000,12178,
power655,00933,jackpot-1,Jackpot 1,,0,64650236700
power655,00933,jackpot-2,Jackpot 2,,0,4358548600
power655,00933,giai-nhat,Giải Nhất,40000000,4,
power655,00933,giai-nhi,Giải Nhì,500000,555,
power655,00933,giai-ba,Giải Ba,50000,13751,
power655,00934,jackpot-1,Jackpot 1,,0,67899735300
power655,00934,jackpot-2,Jackpot 2,,0,4719604000
power655,00934,giai-nhat,Giải Nhất,40000000,8,
power655,00934,giai-nhi,Giải Nhì,500000,676,
power655,00934,giai-ba,Giải Ba,50000,13877,
power655,00935,jackpot-1,Jackpot 1,,0,72457474800
power655,00935,jackpot-2,Jackpot 2,,0,5226019500
power655,00935,giai-nhat,Giải Nhất,40000000,5,
power655,00935,giai-nhi,Giải Nhì,500000,635,
power655,00935,giai-ba,Giải Ba,50000,14725,
power655,00936,jackpot-1,Jackpot 1,,0,77347149150
power655,00936,jackpot-2,Jackpot 2,,0,5769316650
power655,00936,giai-nhat,Giải Nhất,40000000,11,
power655,00936,giai-nhi,Giải Nhì,500000,822,
power655,00936,giai-ba,Giải Ba,50000,15397,
power655,00937,jackpot-1,Jackpot 1,,0,82096341600
power655,00937,jackpot-2,Jackpot 2,,0,6297004700
power655,00937,giai-nhat,Giải Nhất,40000000,12,
power655,00937,giai-nhi,Giải Nhì,500000,746,
power655,00937,giai-ba,Giải Ba,50000,15150,
power655,00938,jackpot-1,Jackpot 1,,0,87320545500
power655,00938,jackpot-2,Jackpot 2,,1,6877471800
power655,00938,giai-nhat,Giải Nhất,40000000,14,
power655,00938,giai-nhi,Giải Nhì,500000,1001,
power655,00938,giai-ba,Giải Ba,50000,19647,
power655,00939,jackpot-1,Jackpot 1,,0,90070410900
power655,00939,jackpot-2,Jackpot 2,,0,3305540600
power655,00939,giai-nhat,Giải Nhất,40000000,22,
power655,00939,giai-nhi,Giải Nhì,500000,898,
power655,00939,giai-ba,Giải Ba,50000,19423,
power655,00940,jackpot-1,Jackpot 1,,0,95566397700
power655,00940,jackpot-2,Jackpot 2,,0,3916205800
power655,00940,giai-nhat,Giải Nhất,40000000,25,
power655,00940,giai-nhi,Giải Nhì,500000,1328,
power655,00940,giai-ba,Giải Ba,50000,21903,
power655,00941,jackpot-1,Jackpot 1,,0,101882095950
power655,00941,jackpot-2,Jackpot 2,,1,4617950050
power655,00941,giai-nhat,Giải Nhất,40000000,27,
power655,00941,giai-nhi,Giải Nhì,500000,1576,
power655,00941,giai-ba,Giải Ba,50000,24959,
power655,00942,jackpot-1,Jackpot 1,,0,106511719800
power655,00942,jackpot-2,Jackpot 2,,0,3514402650
power655,00942,giai-nhat,Giải Nhất,40000000,19,
power655,00942,giai-nhi,Giải Nhì,500000,1351,
power655,00942,giai-ba,Giải Ba,50000,26333,
power655,00943,jackpot-1,Jackpot 1,,0,112991932200
power655,00943,jackpot-2,Jackpot 2,,0,4234426250
power655,00943,giai-nhat,Giải Nhất,40000000,26,
power655,00943,giai-nhi,Giải Nhì,500000,1342,
power655,00943,giai-ba,Giải Ba,50000,27404,
power655,00944,jackpot-1,Jackpot 1,,0,120243618750
power655,00944,jackpot-2,Jackpot 2,,1,5040169200
power655,00944,giai-nhat,Giải Nhất,40000000,20,
power655,00944,giai-nhi,Giải Nhì,500000,1231,
power655,00944,giai-ba,Giải Ba,50000,25555,
power655,00945,jackpot-1,Jackpot 1,,0,126033393900
power655,00945,jackpot-2,Jackpot 2,,0,3643308350
power655,00945,giai-nhat,Giải Nhất,40000000,20,
power655,00945,giai-nhi,Giải Nhì,500000,1214,
power655,00945,giai-ba,Giải Ba,50000,26177,
power655,00946,jackpot-1,Jackpot 1,,0,134594405850
power655,00946,jackpot-2,Jackpot 2,,0,4594531900
power655,00946,giai-nhat,Giải Nhất,40000000,17,
power655,00946,giai-nhi,Giải Nhì,500000,1241,
power655,00946,giai-ba,Giải Ba,50000,25928,
power655,00947,jackpot-1,Jackpot 1,,0,142854653550
power655,00947,jackpot-2,Jackpot 2,,0,5512337200
power655,00947,giai-nhat,Giải Nhất,40000000,14,
power655,00947,giai-nhi,Giải Nhì,500000,1280,
power655,00947,giai-ba,Giải Ba,50000,26040,
power655,00948,jackpot-1,Jackpot 1,,0,152183678700
power655,00948,jackpot-2,Jackpot 2,,1,6548895550
power655,00948,giai-nhat,Giải Nhất,40000000,18,
power655,00948,giai-nhi,Giải Nhì,500000,1534,
power655,00948,giai-ba,Giải Ba,50000,31359,
power655,00949,jackpot-1,Jackpot 1,,0,157447377750
power655,00949,jackpot-2,Jackpot 2,,0,3584855450
power655,00949,giai-nhat,Giải Nhất,40000000,30,
power655,00949,giai-nhi,Giải Nhì,500000,1592,
power655,00949,giai-ba,Giải Ba,50000,29929,
power655,00950,jackpot-1,Jackpot 1,,0,166603401750
power655,00950,jackpot-2,Jackpot 2,,1,4602191450
power655,00950,giai-nhat,Giải Nhất,40000000,9,
power655,00950,giai-nhi,Giải Nhì,500000,1226,
power655,00950,giai-ba,Giải Ba,50000,26742,
power655,00951,jackpot-1,Jackpot 1,,1,173149875300
power655,00951,jackpot-2,Jackpot 2,,1,3727385950
power655,00951,giai-nhat,Giải Nhất,40000000,20,
power655,00951,giai-nhi,Giải Nhì,500000,1613,
power655,00951,giai-ba,Giải Ba,50000,33139,
power655,00952,jackpot-1,Jackpot 1,,0,31605069000
power655,00952,jackpot-2,Jackpot 2,,0,3178341000
power655,00952,giai-nhat,Giải Nhất,40000000,3,
power655,00952,giai-nhi,Giải Nhì,500000,544,
power655,00952,giai-ba,Giải Ba,50000,11173,
power655,00953,jackpot-1,Jackpot 1,,0,33414096900
power655,00953,jackpot-2,Jackpot 2,,0,3379344100
power655,00953,giai-nhat,Giải Nhất,40000000,4,
power655,00953,giai-nhi,Giải Nhì,500000,410,
power655,00953,giai-ba,Giải Ba,50000,9029,
power655,00954,jackpot-1,Jackpot 1,,1,35075545050
power655,00954,jackpot-2,Jackpot 2,,0,3563949450
power655,00954,giai-nhat,Giải Nhất,40000000,12,
power655,00954,giai-nhi,Giải Nhì,500000,616,
power655,00954,giai-ba,Giải Ba,50000,12286,
power655,00955,jackpot-1,Jackpot 1,,0,31420540650
power655,00955,jackpot-2,Jackpot 2,,0,3721787300
power655,00955,giai-nhat,Giải Nhất,40000000,7,
power655,00955,giai-nhi,Giải Nhì,500000,429,
power655,00955,giai-ba,Giải Ba,50000,9408,
power655,00956,jackpot-1,Jackpot 1,,0,32810830500
power655,00956,jackpot-2,Jackpot 2,,0,3876263950
power655,00956,giai-nhat,Giải Nhất,40000000,13,
power655,00956,giai-nhi,Giải Nhì,500000,461,
power655,00956,giai-ba,Giải Ba,50000,10208,
power655,00957,jackpot-1,Jackpot 1,,0,34196392650
power655,00957,jackpot-2,Jackpot 2,,0,4030215300
power655,00957,giai-nhat,Giải Nhất,40000000,13,
power655,00957,giai-nhi,Giải Nhì,500000,754,
power655,00957,giai-ba,Giải Ba,50000,13994,
power655,00958,jackpot-1,Jackpot 1,,0,35952406950
power655,00958,jackpot-2,Jackpot 2,,1,4225328000
power655,00958,giai-nhat,Giải Nhất,40000000,3,
power655,00958,giai-nhi,Giải Nhì,500000,461,
power655,00958,giai-ba,Giải Ba,50000,10564,
power655,00959,jackpot-1,Jackpot 1,,0,37188068250
power655,00959,jackpot-2,Jackpot 2,,1,3137295700
power655,00959,giai-nhat,Giải Nhất,40000000,13,
power655,00959,giai-nhi,Giải Nhì,500000,667,
power655,00959,giai-ba,Giải Ba,50000,12430,
power655,00960,jackpot-1,Jackpot 1,,0,38984117250
power655,00960,jackpot-2,Jackpot 2,,0,3199561000
power655,00960,giai-nhat,Giải Nhất,40000000,8,
power655,00960,giai-nhi,Giải Nhì,500000,608,
power655,00960,giai-ba,Giải Ba,50000,12852,
power655,00961,jackpot-1,Jackpot 1,,0,40785765150
power655,00961,jackpot-2,Jackpot 2,,0,3399744100
power655,00961,giai-nhat,Giải Nhất,40000000,5,
power655,00961,giai-nhi,Giải Nhì,500000,413,
power655,00961,giai-ba,Giải Ba,50000,9819,
power655,00962,jackpot-1,Jackpot 1,,0,42235023000
power655,00962,jackpot-2,Jackpot 2,,0,3560772750
power655,00962,giai-nhat,Giải Nhất,40000000,13,
power655,00962,giai-nhi,Giải Nhì,500000,687,
power655,00962,giai-ba,Giải Ba,50000,14059,
power655,00963,jackpot-1,Jackpot 1,,0,44717168550
power655,00963,jackpot-2,Jackpot 2,,0,3836566700
power655,00963,giai-nhat,Giải Nhất,40000000,7,
power655,00963,giai-nhi,Giải Nhì,500000,527,
power655,00963,giai-ba,Giải Ba,50000,11951,
power655,00964,jackpot-1,Jackpot 1,,0,46969203000
power655,00964,jackpot-2,Jackpot 2,,0,4086792750
power655,00964,giai-nhat,Giải Nhất,40000000,7,
power655,00964,giai-nhi,Giải Nhì,500000,562,
power655,00964,giai-ba,Giải Ba,50000,12592,
power655,00965,jackpot-1,Jackpot 1,,0,48458017200
power655,00965,jackpot-2,Jackpot 2,,0,4252216550
power655,00965,giai-nhat,Giải Nhất,40000000,23,
power655,00965,giai-nhi,Giải Nhì,500000,1033,
power655,00965,giai-ba,Giải Ba,50000,15666,
power655,00966,jackpot-1,Jackpot 1,,1,50531713500
power655,00966,jackpot-2,Jackpot 2,,0,4482627250
power655,00966,giai-nhat,Giải Nhất,40000000,20,
power655,00966,giai-nhi,Giải Nhì,500000,826,
power655,00966,giai-ba,Giải Ba,50000,17445,
power655,00967,jackpot-1,Jackpot 1,,0,31401323850
power655,00967,jackpot-2,Jackpot 2,,0,4638329900
power655,00967,giai-nhat,Giải Nhất,40000000,11,
power655,00967,giai-nhi,Giải Nhì,500000,507,
power655,00967,giai-ba,Giải Ba,50000,9651,
power655,00968,jackpot-1,Jackpot 1,,0,32990974950
power655,00968,jackpot-2,Jackpot 2,,0,4814957800
power655,00968,giai-nhat,Giải Nhất,40000000,9,
power655,00968,giai-nhi,Giải Nhì,500000,619,
power655,00968,giai-ba,Giải Ba,50000,11708,
power655,00969,jackpot-1,Jackpot 1,,0,35173302600
power655,00969,jackpot-2,Jackpot 2,,2,2528719325
power655,00969,giai-nhat,Giải Nhất,40000000,5,
power655,00969,giai-nhi,Giải Nhì,500000,507,
power655,00969,giai-ba,Giải Ba,50000,11806,
power655,00970,jackpot-1,Jackpot 1,,0,36585760800
power655,00970,jackpot-2,Jackpot 2,,0,3156939800
power655,00970,giai-nhat,Giải Nhất,40000000,16,
power655,00970,giai-nhi,Giải Nhì,500000,638,
power655,00970,giai-ba,Giải Ba,50000,11755,
power655,00971,jackpot-1,Jackpot 1,,0,38380011600
power655,00971,jackpot-2,Jackpot 2,,0,3356301000
power655,00971,giai-nhat,Giải Nhất,40000000,9,
power655,00971,giai-nhi,Giải Nhì,500000,534,
power655,00971,giai-ba,Giải Ba,50000,11577,
power655,00972,jackpot-1,Jackpot 1,,0,40527961950
power655,00972,jackpot-2,Jackpot 2,,0,3594962150
power655,00972,giai-nhat,Giải Nhất,40000000,9,
power655,00972,giai-nhi,Giải Nhì,500000,601,
power655,00972,giai-ba,Giải Ba,50000,12830,
power655,00973,jackpot-1,Jackpot 1,,0,42761793000
power655,00973,jackpot-2,Jackpot 2,,0,3843165600
power655,00973,giai-nhat,Giải Nhất,40000000,6,
power655,00973,giai-nhi,Giải Nhì,500000,502,
power655,00973,giai-ba,Giải Ba,50000,11762,
power655,00974,jackpot-1,Jackpot 1,,0,45088940550
power655,00974,jackpot-2,Jackpot 2,,0,4101737550
power655,00974,giai-nhat,Giải Nhất,40000000,7,
power655,00974,giai-nhi,Giải Nhì,500000,499,
power655,00974,giai-ba,Giải Ba,50000,10781,
power655,00975,jackpot-1,Jackpot 1,,0,47615531700
power655,00975,jackpot-2,Jackpot 2,,0,4382469900
power655,00975,giai-nhat,Giải Nhất,40000000,5,
power655,00975,giai-nhi,Giải Nhì,500000,700,
power655,00975,giai-ba,Giải Ba,50000,15581,
power655,00976,jackpot-1,Jackpot 1,,0,50014908300
power655,00976,jackpot-2,Jackpot 2,,0,4649067300
power655,00976,giai-nhat,Giải Nhất,40000000,7,
power655,00976,giai-nhi,Giải Nhì,500000,595,
power655,00976,giai-ba,Giải Ba,50000,13500,
power655,00977,jackpot-1,Jackpot 1,,0,52129102800
power655,00977,jackpot-2,Jackpot 2,,2,2441988900
power655,00977,giai-nhat,Giải Nhất,40000000,19,
power655,00977,giai-nhi,Giải Nhì,500000,770,
power655,00977,giai-ba,Giải Ba,50000,15450,
power655,00978,jackpot-1,Jackpot 1,,0,54632301150
power655,00978,jackpot-2,Jackpot 2,,1,3278133150
power655,00978,giai-nhat,Giải Nhất,40000000,10,
power655,00978,giai-nhi,Giải Nhì,500000,868,
power655,00978,giai-ba,Giải Ba,50000,17756,
power655,00979,jackpot-1,Jackpot 1,,0,57063120600
power655,00979,jackpot-2,Jackpot 2,,0,3270091050
power655,00979,giai-nhat,Giải Nhất,40000000,11,
power655,00979,giai-nhi,Giải Nhì,500000,817,
power655,00979,giai-ba,Giải Ba,50000,15084,
power655,00980,jackpot-1,Jackpot 1,,0,59785265550
power655,00980,jackpot-2,Jackpot 2,,0,3572551600
power655,00980,giai-nhat,Giải Nhất,40000000,7,
power655,00980,giai-nhi,Giải Nhì,500000,701,
power655,00980,giai-ba,Giải Ba,50000,16020,
power655,00981,jackpot-1,Jackpot 1,,0,62968732950
power655,00981,jackpot-2,Jackpot 2,,0,3926270200
power655,00981,giai-nhat,Giải Nhất,40000000,8,
power655,00981,giai-nhi,Giải Nhì,500000,673,
power655,00981,giai-ba,Giải Ba,50000,16100,
power655,00982,jackpot-1,Jackpot 1,,0,65509647150
power655,00982,jackpot-2,Jackpot 2,,1,4208594000
power655,00982,giai-nhat,Giải Nhất,40000000,19,
power655,00982,giai-nhi,Giải Nhì,500000,757,
power655,00982,giai-ba,Giải Ba,50000,16460,
power655,00983,jackpot-1,Jackpot 1,,0,68166525450
power655,00983,jackpot-2,Jackpot 2,,1,3295208700
power655,00983,giai-nhat,Giải Nhất,40000000,12,
